accession	country	location	description	scientific_name	bio_material	culture_collection	specimen_voucher	sample_accession	study_accession	collected_by	collection_date
GU974152	Madagascar	""	Tabernaemontana sessilifolia trnS-trnG intergenic spacer, partial sequence; chloroplast.	Tabernaemontana sessilifolia	""	""	J. Randrianasolo & V. Bernardin 236(BR)	""	""	""	""
GU974172	Gabon	""	Calocrater preussii ribosomal protein R16 (rpl16) gene, intron; chloroplast.	Calocrater preussii	""	""	Bourobon 314 (BR)	""	""	""	""
GU974196	Madagascar	""	Tabernaemontana ciliata ribosomal protein R16 (rpl16) gene, intron; chloroplast.	Tabernaemontana ciliata	""	""	R. Razakamalala & L. Reza 337 (BR)	""	""	""	""
GU974208	Belgium	""	Tabernaemontana divaricata ribosomal protein R16 (rpl16) gene, intron; chloroplast.	Tabernaemontana divaricata	""	""	F. Billiet S2561 (BR)	""	""	""	""
GU974211	Madagascar	""	Tabernaemontana eusepala ribosomal protein R16 (rpl16) gene, intron; chloroplast.	Tabernaemontana eusepala	""	""	P. Hoffman & al. 29 (BR)	""	""	""	""
GU974215	Madagascar	""	Tabernaemontana humblotii ribosomal protein R16 (rpl16) gene, intron; chloroplast.	Tabernaemontana humblotii	""	""	L.M. Randriantanafika 6 (BR)	""	""	""	""
GU974226	Democratic Republic of the Congo	""	Tabernaemontana odoratissima ribosomal protein R16 (rpl16) gene, intron; chloroplast.	Tabernaemontana odoratissima	""	""	Amnisi 87 (BR)	""	""	""	""
GU974239	Madagascar	""	Tabernaemontana sessilifolia ribosomal protein R16 (rpl16) gene, intron; chloroplast.	Tabernaemontana sessilifolia	""	""	J. Randrianasolo & V. Bernardin 236(BR)	""	""	""	""
GU974256	Gabon	""	Calocrater preussii tRNA-Lys (trnK) gene, intron; chloroplast.	Calocrater preussii	""	""	Bourobon 314 (BR)	""	""	""	""
GU974280	Madagascar	""	Tabernaemontana ciliata tRNA-Lys (trnK) gene, intron; chloroplast.	Tabernaemontana ciliata	""	""	R. Razakamalala & L. Reza 337 (BR)	""	""	""	""
GU974292	Belgium	""	Tabernaemontana divaricata tRNA-Lys (trnK) gene, intron; chloroplast.	Tabernaemontana divaricata	""	""	F. Billiet S2561 (BR)	""	""	""	""
GU974295	Madagascar	""	Tabernaemontana eusepala tRNA-Lys (trnK) gene, intron; chloroplast.	Tabernaemontana eusepala	""	""	P. Hoffman & al. 29 (BR)	""	""	""	""
GU974299	Madagascar	""	Tabernaemontana humblotii tRNA-Lys (trnK) gene, intron; chloroplast.	Tabernaemontana humblotii	""	""	L.M. Randriantanafika 6 (BR)	""	""	""	""
GU974310	Democratic Republic of the Congo	""	Tabernaemontana odoratissima tRNA-Lys (trnK) gene, intron; chloroplast.	Tabernaemontana odoratissima	""	""	Amnisi 87 (BR)	""	""	""	""
GU974323	Madagascar	""	Tabernaemontana sessilifolia tRNA-Lys (trnK) gene, intron; chloroplast.	Tabernaemontana sessilifolia	""	""	J. Randrianasolo & V. Bernardin 236(BR)	""	""	""	""
HG971811	Ghana	""	Alchornea floribunda plastid DNA containing partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher A. A. Enti SP580 (BR), isolate EPH115	Alchornea floribunda	""	""	A. A. Enti SP580 (BR)	""	""	""	""
HG971834	Ethiopia	""	Cephalocroton cordofanus plastid DNA containing partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher I. Friis 6870 et al. (BR), isolate EPH122	Cephalocroton cordofanus	""	""	I. Friis 6870 et al. (BR)	""	""	""	""
HG971835	Botswana	""	Cephalocroton mollis plastid DNA containing partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher L. Liebenberg 8961 (BR), isolate EPH123	Cephalocroton mollis	""	""	L. Liebenberg 8961 (BR)	""	""	""	""
HG971845	Madagascar	""	Hancea capuronii plastid DNA containing partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher O. Poncy 1561 (BR), isolate EPH158	Hancea capuronii	""	""	O. Poncy 1561 (BR)	""	""	""	""
HG971853	Democratic Republic of the Congo	""	Crotonogynopsis usambarica plastid DNA containing partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher N.L. Bola 143 (BR), isolate EPH166	Crotonogynopsis usambarica	""	""	N.L. Bola 143 (BR)	""	""	""	""
HG971860	Guinea	""	Discoclaoxylon hexandrum plastid DNA containing partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher Jonkind 8328 (BR), isolate EPH140	Discoclaoxylon hexandrum	""	""	Jonkind 8328 (BR)	""	""	""	""
HG971871	Senegal	""	Erythrococca africana plastid DNA containing partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher C. Vanden Berghen 8806 (BR), isolate EPH149	Erythrococca africana	""	""	C. Vanden Berghen 8806 (BR)	""	""	""	""
HG971902	Cameroon	""	Mareya brevipes plastid DNA containing partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher J. Lejoly 86/1039 (BR), isolate EPH159	Mareya brevipes	""	""	J. Lejoly 86/1039 (BR)	""	""	""	""
HG971903	Gabon	""	Mareyopsis longifolia plastid DNA containing partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher G. McPherson 16174 (BR), isolate EPH164	Mareyopsis longifolia	""	""	G. McPherson 16174 (BR)	""	""	""	""
HG971909	Democratic Republic of the Congo	""	Micrococca mercurialis plastid DNA containing partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher Boyekoli Ebale Democratic Republic of the Congo Expedition 2010-462 (BR), isolate EPH169	Micrococca mercurialis	""	""	Boyekoli Ebale Democratic Republic ofthe Congo Expedition 2010-462 (BR)	""	""	""	""
HG971929	Central African Republic	""	Pycnocoma chevalieri plastid DNA containing partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher Harris & Fay 6 (BR), isolate EPH167	Pycnocoma chevalieri	""	""	Harris & Fay 6 (BR)	""	""	""	""
HG971942	Democratic Republic of the Congo	""	Tragia sp. SF-2014 plastid DNA containing partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher Boyekoli Ebale Democratic Republic of the Congo Expedition 2010-468 (BR), isolate EPH191	Tragia sp. SF-2014	""	""	Boyekoli Ebale Democratic Republic ofthe Congo Expedition 2010-468 (BR)	""	""	""	""
HG971949	Malawi	""	Tragiella anomala plastid DNA containing partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher F. Dowset-Lemaire 643 (BR), isolate EPH192	Tragiella anomala	""	""	F. Dowset-Lemaire 643 (BR)	""	""	""	""
HG971950	Tanzania	""	Tragiella natalensis plastid DNA containing partial tRNA-Leu gene and trnL-trnF IGS, specimen voucher S. Bidgood 1609 et al. (BR), isolate EPH193	Tragiella natalensis	""	""	S. Bidgood 1609 et al. (BR)	""	""	""	""
HG971978	Ghana	""	Alchornea floribunda plastid DNA containing petB-petD IGS and partial petD gene, specimen voucher A. A. Enti SP580 (BR), isolate EPH115	Alchornea floribunda	""	""	A. A. Enti SP580 (BR)	""	""	""	""
HG972001	Ethiopia	""	Cephalocroton cordofanus plastid DNA containing petB-petD IGS and partial petD gene, specimen voucher I. Friis 6870 et al. (BR), isolate EPH122	Cephalocroton cordofanus	""	""	I. Friis 6870 et al. (BR)	""	""	""	""
HG972002	Botswana	""	Cephalocroton mollis plastid DNA containing petB-petD IGS and partial petD gene, specimen voucher L. Liebenberg 8961 (BR), isolate EPH123	Cephalocroton mollis	""	""	L. Liebenberg 8961 (BR)	""	""	""	""
HG972012	Madagascar	""	Hancea capuronii plastid DNA containing petB-petD IGS and partial petD gene, specimen voucher O. Poncy 1561 (BR), isolate EPH158	Hancea capuronii	""	""	O. Poncy 1561 (BR)	""	""	""	""
HG972020	Democratic Republic of the Congo	""	Crotonogynopsis usambarica plastid DNA containing petB-petD IGS and partial petD gene, specimen voucher N.L. Bola 143 (BR), isolate EPH166	Crotonogynopsis usambarica	""	""	N.L. Bola 143 (BR)	""	""	""	""
HG972027	Guinea	""	Discoclaoxylon hexandrum plastid DNA containing petB-petD IGS and partial petD gene, specimen voucher Jonkind 8328 (BR), isolate EPH140	Discoclaoxylon hexandrum	""	""	Jonkind 8328 (BR)	""	""	""	""
HG972038	Senegal	""	Erythrococca africana plastid DNA containing petB-petD IGS and partial petD gene, specimen voucher C. Vanden Berghen 8806 (BR), isolate EPH149	Erythrococca africana	""	""	C. Vanden Berghen 8806 (BR)	""	""	""	""
HG972069	Cameroon	""	Mareya brevipes plastid DNA containing petB-petD IGS and partial petD gene, specimen voucher J. Lejoly 86/1039 (BR), isolate EPH159	Mareya brevipes	""	""	J. Lejoly 86/1039 (BR)	""	""	""	""
HG972070	Gabon	""	Mareyopsis longifolia plastid DNA containing petB-petD IGS and partial petD gene, specimen voucher G. McPherson 16174 (BR), isolate EPH164	Mareyopsis longifolia	""	""	G. McPherson 16174 (BR)	""	""	""	""
HG972076	Democratic Republic of the Congo	""	Micrococca mercurialis plastid DNA containing petB-petD IGS and partial petD gene, specimen voucher Boyekoli Ebale Democratic Republic of the Congo Expedition 2010-462 (BR), isolate EPH169	Micrococca mercurialis	""	""	Boyekoli Ebale Democratic Republic ofthe Congo Expedition 2010-462 (BR)	""	""	""	""
HG972096	Central African Republic	""	Pycnocoma chevalieri plastid DNA containing petB-petD IGS and partial petD gene, specimen voucher Harris & Fay 6 (BR), isolate EPH167	Pycnocoma chevalieri	""	""	Harris & Fay 6 (BR)	""	""	""	""
HG972109	Democratic Republic of the Congo	""	Tragia sp. SF-2014 plastid DNA containing petB-petD IGS and partial petD gene, specimen voucher Boyekoli Ebale Democratic Republic of the Congo Expedition 2010-468 (BR), isolate EPH191	Tragia sp. SF-2014	""	""	Boyekoli Ebale Democratic Republic ofthe Congo Expedition 2010-468 (BR)	""	""	""	""
HG972116	Malawi	""	Tragiella anomala plastid DNA containing petB-petD IGS and partial petD gene, specimen voucher F. Dowset-Lemaire 643 (BR), isolate EPH192	Tragiella anomala	""	""	F. Dowset-Lemaire 643 (BR)	""	""	""	""
HG972117	Tanzania	""	Tragiella natalensis plastid DNA containing petB-petD IGS and partial petD gene, specimen voucher S. Bidgood 1609 et al. (BR), isolate EPH193	Tragiella natalensis	""	""	S. Bidgood 1609 et al. (BR)	""	""	""	""
HM042478	""	""	Poecilocalyx crystallinus voucher Breteler 6859 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Poecilocalyx crystallinus	""	""	Breteler 6859 (BR)	""	""	""	""
HM042482	""	""	Poecilocalyx schumannii voucher de Wilde et al. 1573 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Poecilocalyx schumannii	""	""	de Wilde et al. 1573 (BR)	""	""	""	""
HM042483	""	""	Stelechantha arcuata voucher de Wilde 8009 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Stelechantha arcuata	""	""	de Wilde 8009 (BR)	""	""	""	""
HM042485	""	""	Pauridiantha liebrechtsiana voucher Brekler 1782 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Pauridiantha liebrechtsiana	""	""	Brekler 1782 (BR)	""	""	""	""
HM042486	""	""	Pauridiantha bridelioides voucher Bridson 584 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Pauridiantha bridelioides	""	""	Bridson 584 (BR)	""	""	""	""
HM042487	""	""	Pauridiantha callicarpoides voucher Lejoly 86/347 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Pauridiantha callicarpoides	""	""	Lejoly 86/347 (BR)	""	""	""	""
HM042490	""	""	Pauridiantha efferata voucher van Valkenburg 2552 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Pauridiantha efferata	""	""	van Valkenburg 2552 (BR)	""	""	""	""
HM042491	""	""	Pauridiantha floribunda voucher van Meer 1556 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Pauridiantha floribunda	""	""	van Meer 1556 (BR)	""	""	""	""
HM042494	""	""	Pauridiantha microphylla voucher van Valkenburg 2856 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Pauridiantha microphylla	""	""	van Valkenburg 2856 (BR)	""	""	""	""
HM042495	""	""	Pauridiantha pleiantha voucher Harris et al. 1148 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Pauridiantha pleiantha	""	""	Harris et al. 1148 (BR)	""	""	""	""
HM042498	""	""	Pauridiantha siderophila voucher Jongkind 5454 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Pauridiantha siderophila	""	""	Jongkind 5454 (BR)	""	""	""	""
HM042500	""	""	Pauridiantha sp. 2 van Valkenburg 3009 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Pauridiantha sp. 2 van Valkenburg 3009	""	""	van Valkenburg 3009 (BR)	""	""	""	""
HM042502	""	""	Pauridiantha talbotii voucher Davis 3057 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Pauridiantha talbotii	""	""	Davis 3057 (BR)	""	""	""	""
HM042503	""	""	Pauridiantha viridiflora voucher Bidgood et al. 4888 (BR) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.	Pauridiantha viridiflora	""	""	Bidgood et al. 4888 (BR)	""	""	""	""
HM042532	""	""	Pauridiantha liebrechtsiana voucher Brekler 1782 (BR) external transcribed spacer, partial sequence.	Pauridiantha liebrechtsiana	""	""	Brekler 1782 (BR)	""	""	""	""
HM042536	""	""	Poecilocalyx crystallinus voucher Breteler 6859 (BR) external transcribed spacer, partial sequence.	Poecilocalyx crystallinus	""	""	Breteler 6859 (BR)	""	""	""	""
HM042537	""	""	Poecilocalyx schumannii voucher de Wilde et al. 1573 (BR) external transcribed spacer, partial sequence.	Poecilocalyx schumannii	""	""	de Wilde et al. 1573 (BR)	""	""	""	""
HM042540	""	""	Stelechantha arcuata voucher de Wilde 8009 (BR) external transcribed spacer, partial sequence.	Stelechantha arcuata	""	""	de Wilde 8009 (BR)	""	""	""	""
HM042541	""	""	Stelechantha cauliflora voucher Pannetier & Esono 2854 (BR) external transcribed spacer, partial sequence.	Stelechantha cauliflora	""	""	Pannetier & Esono 2854 (BR)	""	""	""	""
HM042543	""	""	Pauridiantha bridelioides voucher Bridson 584 (BR) external transcribed spacer, partial sequence.	Pauridiantha bridelioides	""	""	Bridson 584 (BR)	""	""	""	""
HM042544	""	""	Pauridiantha callicarpoides voucher Lejoly 86/347 (BR) external transcribed spacer, partial sequence.	Pauridiantha callicarpoides	""	""	Lejoly 86/347 (BR)	""	""	""	""
HM042550	""	""	Pauridiantha efferata voucher van Valkenburg 2552 (BR) external transcribed spacer, partial sequence.	Pauridiantha efferata	""	""	van Valkenburg 2552 (BR)	""	""	""	""
HM042551	""	""	Pauridiantha floribunda voucher van Meer 1556 (BR) external transcribed spacer, partial sequence.	Pauridiantha floribunda	""	""	van Meer 1556 (BR)	""	""	""	""
HM042553	""	""	Pauridiantha microphylla voucher van Valkenburg 2856 (BR) external transcribed spacer, partial sequence.	Pauridiantha microphylla	""	""	van Valkenburg 2856 (BR)	""	""	""	""
HM042556	""	""	Pauridiantha udzungwaensis voucher Gerean & Kayomb 4702 (BR) external transcribed spacer, partial sequence.	Pauridiantha udzungwaensis	""	""	Gerean & Kayomb 4702 (BR)	""	""	""	""
HM042558	""	""	Pauridiantha pleiantha voucher Harris et al. 1148 (BR) external transcribed spacer, partial sequence.	Pauridiantha pleiantha	""	""	Harris et al. 1148 (BR)	""	""	""	""
HM042561	""	""	Pauridiantha sp. 2 van Valkenburg 3009 external transcribed spacer, partial sequence.	Pauridiantha sp. 2 van Valkenburg 3009	""	""	van Valkenburg 3009 (BR)	""	""	""	""
HM042562	""	""	Pauridiantha siderophila voucher Jongkind 5454 (BR) external transcribed spacer, partial sequence.	Pauridiantha siderophila	""	""	Jongkind 5454 (BR)	""	""	""	""
HM042564	""	""	Pauridiantha talbotii voucher Davis 3057 (BR) external transcribed spacer, partial sequence.	Pauridiantha talbotii	""	""	Davis 3057 (BR)	""	""	""	""
HM042565	""	""	Pauridiantha viridiflora voucher Bidgood et al. 4888 (BR) external transcribed spacer, partial sequence.	Pauridiantha viridiflora	""	""	Bidgood et al. 4888 (BR)	""	""	""	""
HM042569	""	""	Pauridiantha liebrechtsiana voucher Brekler 1782 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Pauridiantha liebrechtsiana	""	""	Brekler 1782 (BR)	""	""	""	""
HM042570	""	""	Poecilocalyx schumannii voucher de Wilde et al. 1573 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Poecilocalyx schumannii	""	""	de Wilde et al. 1573 (BR)	""	""	""	""
HM042571	""	""	Stelechantha arcuata voucher de Wilde 8009 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Stelechantha arcuata	""	""	de Wilde 8009 (BR)	""	""	""	""
HM042572	""	""	Stelechantha cauliflora voucher Pannetier & Esono 2854 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Stelechantha cauliflora	""	""	Pannetier & Esono 2854 (BR)	""	""	""	""
HM042573	""	""	Pauridiantha bridelioides voucher Bridson 584 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Pauridiantha bridelioides	""	""	Bridson 584 (BR)	""	""	""	""
HM042574	""	""	Pauridiantha callicarpoides voucher Lejoly 86/347 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Pauridiantha callicarpoides	""	""	Lejoly 86/347 (BR)	""	""	""	""
HM042575	""	""	Pauridiantha efferata voucher van Valkenburg 2552 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Pauridiantha efferata	""	""	van Valkenburg 2552 (BR)	""	""	""	""
HM042576	""	""	Pauridiantha floribunda voucher van Meer 1556 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Pauridiantha floribunda	""	""	van Meer 1556 (BR)	""	""	""	""
HM042578	""	""	Pauridiantha microphylla voucher van Valkenburg 2856 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Pauridiantha microphylla	""	""	van Valkenburg 2856 (BR)	""	""	""	""
HM042579	""	""	Pauridiantha pleiantha voucher Harris et al. 1148 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Pauridiantha pleiantha	""	""	Harris et al. 1148 (BR)	""	""	""	""
HM042580	""	""	Pauridiantha siderophila voucher Jongkind 5454 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Pauridiantha siderophila	""	""	Jongkind 5454 (BR)	""	""	""	""
HM042581	""	""	Pauridiantha sp. 2 van Valkenburg 3009 ribosomal protein S16 (rps16) gene, intron; chloroplast.	Pauridiantha sp. 2 van Valkenburg 3009	""	""	van Valkenburg 3009 (BR)	""	""	""	""
HM042582	""	""	Pauridiantha udzungwaensis voucher Gerean & Kayomb 4702 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Pauridiantha udzungwaensis	""	""	Gerean & Kayomb 4702 (BR)	""	""	""	""
HM042583	""	""	Pauridiantha talbotii voucher Davis 3057 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Pauridiantha talbotii	""	""	Davis 3057 (BR)	""	""	""	""
HM042584	""	""	Pauridiantha viridiflora voucher Bidgood et al. 4888 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Pauridiantha viridiflora	""	""	Bidgood et al. 4888 (BR)	""	""	""	""
HM042594	""	""	Stelechantha arcuata voucher de Wilde 8009 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Stelechantha arcuata	""	""	de Wilde 8009 (BR)	""	""	""	""
HM042595	""	""	Stelechantha cauliflora voucher Pannetier & Esono 2854 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Stelechantha cauliflora	""	""	Pannetier & Esono 2854 (BR)	""	""	""	""
HM042609	""	""	Poecilocalyx crystallinus voucher Breteler 6859 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Poecilocalyx crystallinus	""	""	Breteler 6859 (BR)	""	""	""	""
HM042611	""	""	Poecilocalyx schumannii voucher de Wilde et al. 1573 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Poecilocalyx schumannii	""	""	de Wilde et al. 1573 (BR)	""	""	""	""
HM042615	""	""	Pauridiantha liebrechtsiana voucher Brekler 1782 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Pauridiantha liebrechtsiana	""	""	Brekler 1782 (BR)	""	""	""	""
HM042616	""	""	Pauridiantha bridelioides voucher Bridson 584 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Pauridiantha bridelioides	""	""	Bridson 584 (BR)	""	""	""	""
HM042617	""	""	Pauridiantha callicarpoides voucher Lejoly 86/347 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Pauridiantha callicarpoides	""	""	Lejoly 86/347 (BR)	""	""	""	""
HM042620	""	""	Pauridiantha efferata voucher van Valkenburg 2552 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Pauridiantha efferata	""	""	van Valkenburg 2552 (BR)	""	""	""	""
HM042621	""	""	Pauridiantha floribunda voucher van Meer 1556 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Pauridiantha floribunda	""	""	van Meer 1556 (BR)	""	""	""	""
HM042623	""	""	Pauridiantha sp. 2 van Valkenburg 3009 trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Pauridiantha sp. 2 van Valkenburg 3009	""	""	van Valkenburg 3009 (BR)	""	""	""	""
HM042625	""	""	Pauridiantha microphylla voucher van Valkenburg 2856 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Pauridiantha microphylla	""	""	van Valkenburg 2856 (BR)	""	""	""	""
HM042626	""	""	Pauridiantha pleiantha voucher Harris et al. 1148 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Pauridiantha pleiantha	""	""	Harris et al. 1148 (BR)	""	""	""	""
HM042629	""	""	Pauridiantha siderophila voucher Jongkind 5454 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Pauridiantha siderophila	""	""	Jongkind 5454 (BR)	""	""	""	""
HM042633	""	""	Pauridiantha udzungwaensis voucher Gerean & Kayomb 4702 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Pauridiantha udzungwaensis	""	""	Gerean & Kayomb 4702 (BR)	""	""	""	""
HM042634	""	""	Pauridiantha talbotii voucher Davis 3057 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Pauridiantha talbotii	""	""	Davis 3057 (BR)	""	""	""	""
HM042635	""	""	Pauridiantha viridiflora voucher Bidgood et al. 4888 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Pauridiantha viridiflora	""	""	Bidgood et al. 4888 (BR)	""	""	""	""
HM119511	""	""	Augusta longifolia isolate bD016 maturase K gene, partial cds; chloroplast.	Augusta longifolia	""	""	Kirkbride 5295 (BR)	""	""	""	""
HM119514	""	""	Bertiera aethiopica isolate bF096 maturase K gene, partial cds; chloroplast.	Bertiera aethiopica	""	""	Dessein s.n. (BR)	""	""	""	""
HM164157	""	""	Bertiera aethiopica voucher Dessein s.n. (BR) ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.	Bertiera aethiopica	""	""	Dessein s.n. (BR)	""	""	""	""
HM164178	""	""	Rytigynia senegalensis voucher van den Berghen 8746 (BR) ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.	Rytigynia senegalensis	""	""	van den Berghen 8746 (BR)	""	""	""	""
HM164195	""	""	Bertiera aethiopica voucher Dessein s.n. (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Bertiera aethiopica	""	""	Dessein s.n. (BR)	""	""	""	""
HM164223	""	""	Rytigynia senegalensis voucher van den Berghen 8746 (BR) ribosomal protein S16 (rps16) gene, intron; chloroplast.	Rytigynia senegalensis	""	""	van den Berghen 8746 (BR)	""	""	""	""
HM164241	""	""	Augusta longifolia voucher Kirkbride 5295 (BR) tRNA-Ser (trnS) gene and trnS-trnG intergenic spacer, partial sequence; and tRNA-Gly (trnG) gene, intron; chloroplast.	Augusta longifolia	""	""	Kirkbride 5295 (BR)	""	""	""	""
HM164242	""	""	Bertiera aethiopica voucher Dessein s.n. (BR) tRNA-Ser (trnS) gene, partial sequence; trnS-trnG intergenic spacer, complete sequence; and tRNA-Gly (trnG) gene, partial sequence; chloroplast.	Bertiera aethiopica	""	""	Dessein s.n. (BR)	""	""	""	""
HM164289	""	""	Rytigynia senegalensis voucher van den Berghen 8746 (BR) tRNA-Ser (trnS) gene, partial sequence; trnS-trnG intergenic spacer, complete sequence; and tRNA-Gly (trnG) gene, partial sequence; chloroplast.	Rytigynia senegalensis	""	""	van den Berghen 8746 (BR)	""	""	""	""
HM164309	""	""	Augusta longifolia voucher Kirkbride 5295 (BR) trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast.	Augusta longifolia	""	""	Kirkbride 5295 (BR)	""	""	""	""
HM164310	""	""	Bertiera aethiopica voucher Dessein s.n. (BR) tRNA-Thr (trnT) gene, partial sequence; trnT-trnL intergenic spacer, tRNA-Leu (trnL) gene, and trnL-trnF intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence; chloroplast.	Bertiera aethiopica	""	""	Dessein s.n. (BR)	""	""	""	""
HM164353	""	""	Augusta longifolia voucher Kirkbride 5295 (BR) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast.	Augusta longifolia	""	""	Kirkbride 5295 (BR)	""	""	""	""
